Date,DASH/BTC,ETC/BTC,ETH/BTC,LTC/BTC,XMR/BTC,XRP/BTC
2018-04-13 10-AM,0.0466,0.002015,0.06333,0.01599,0.02407,0.000079240
2018-04-13 09-AM,0.04595,0.002024,0.06421,0.01606,0.02405,0.000079670
2018-04-13 08-AM,0.04457,0.002016,0.06322,0.01612,0.0241,0.000080430
2018-04-13 07-AM,0.04495,0.00205,0.063,0.01617,0.02408,0.000080150
2018-04-13 06-AM,0.04476,0.002055,0.06219,0.01616,0.02406,0.000080170
2018-04-13 05-AM,0.0447,0.002061,0.06239,0.01616,0.02403,0.000080670
2018-04-13 04-AM,0.04484,0.002075,0.0626,0.01602,0.02408,0.000080580
2018-04-13 03-AM,0.04487,0.002062,0.06258,0.0161,0.02402,0.000079770
2018-04-13 02-AM,0.04467,0.002036,0.06218,0.01596,0.024,0.000079900
2018-04-13 01-AM,0.04442,0.002063,0.06218,0.0161,0.02431,0.000078780
2018-04-13 12-AM,0.04509,0.002047,0.06244,0.0164,0.02435,0.000081100
2018-04-12 11-PM,0.0447,0.002025,0.06245,0.01648,0.02411,0.000082570
2018-04-12 10-PM,0.04473,0.002016,0.0618,0.0161,0.02397,0.000084200
2018-04-12 09-PM,0.04433,0.001991,0.06027,0.01613,0.02405,0.000077490
2018-04-12 08-PM,0.04415,0.001994,0.06009,0.01603,0.02406,0.000075750
